#e14d526b-350b-4611-98e3-d8af43d1acd5
МКД|||78:31:0001280:2004
КВ|3||78:31:0001280:2044
КВ|4||78:31:0001280:2026
КВ|5||78:31:0001280:2031
КВ|6||78:31:0001280:2032
КВ|7||78:31:0001280:2037
ЧКВ|7|6|
ЧКВ|7|2,3,5,7|
КВ|8||78:31:0001280:2033
КВ|9||78:31:0001280:2042
ЧКВ|9|3|
ЧКВ|9|21,41,51|
КВ|10||78:31:0001280:2038
КВ|11||78:31:0001280:2019
КВ|12||78:31:0001280:2022
КВ|13||78:31:0001280:2023
ЧКВ|13|2|
ЧКВ|13|4|
ЧКВ|13|31,51|
КВ|14||78:31:0001280:2027
КВ|15||78:31:0001280:2028
ЧКВ|15|2|
ЧКВ|15|3|
ЧКВ|15|4|
ЧКВ|15|5|
ЧКВ|15|6|
КВ|16||78:31:0001280:2034
ЧКВ|16|3|
ЧКВ|16|7|
ЧКВ|16|8|
ЧКВ|16|9|
ЧКВ|16|21|
КВ|17||78:31:0001280:2039
ЧКВ|17|9|
ЧКВ|17|81|
ЧКВ|17|2,4|
ЧКВ|17|10,3|
КВ|18||78:31:0001280:2020
КВ|19||78:31:0001280:2021
КВ|20||78:31:0001280:2024
КВ|21||78:31:0001280:2025
ЧКВ|21|4,5|
ЧКВ|21|6,7|
КВ|22||78:31:0001280:2029
КВ|23||78:31:0001280:2030
ЧКВ|23|2|
ЧКВ|23|3|
ЧКВ|23|4|
ЧКВ|23|5|
КВ|24||78:31:0001280:2035
КВ|25||78:31:0001280:2036
КВ|26||78:31:0001280:2040
ЧКВ|26|61|
ЧКВ|26|5,7|
ЧКВ|26|41,81|
КВ|27||78:31:0001280:2041
КВ|28||78:31:0001280:2043
НЖ|1-Н||78:31:0001280:2320
НЖ|2-Н||78:31:0001280:2321
НЖ|3-Н||78:31:0001280:2322
НЖ|5-Н||78:31:0001280:2324
НЖ|6-Н||78:31:0001280:2330
НЖ|7-Н||78:31:0001280:2329
#e7e06920-dc9b-4d4e-87e5-db948fda1ff2
МКД|||78:31:0001130:3047
КВ|1||78:31:0001130:3235
КВ|2||78:31:0001130:3239
КВ|3||78:31:0001130:3244
КВ|4||78:31:0001130:3247
КВ|5||78:31:0001130:3232
ЧКВ|5|1|
ЧКВ|5|3|
ЧКВ|5|6|
ЧКВ|5|10|
ЧКВ|5|11|
ЧКВ|5|2,5|
ЧКВ|5|8,9|
КВ|6||78:31:0001130:3237
КВ|7||78:31:0001130:3238
КВ|8||78:31:0001130:3240
КВ|9||78:31:0001130:3241
КВ|10||78:31:0001130:3242
КВ|11||78:31:0001130:3243
КВ|12||78:31:0001130:3245
КВ|14||78:31:0001130:3246
КВ|15||78:31:0001130:3248
КВ|16||78:31:0001130:3249
КВ|18||78:31:0001130:3236
КВ|19||78:31:0001130:4365
КВ|22||78:31:0001130:3233
НЖ|1-Н||78:31:0001130:4366
НЖ|3-Н||78:31:0001130:4367
НЖ|4-Н||78:31:0001130:4368
НЖ|6-Н||78:31:0001130:4370
#e5be52b3-0498-4289-9c99-4cc5cce8442e
МКД|||78:31:0001282:2649
КВ|87||78:31:0001282:2652
КВ|88||78:31:0001282:2655
КВ|89||78:31:0001282:2658
КВ|91||78:31:0001282:2653
КВ|92||78:31:0001282:2654
КВ|93||78:31:0001282:2656
КВ|94||78:31:0001282:2657
КВ|95||78:31:0001282:2659
КВ|96||78:31:0001282:2660
#ef4d867c-545d-460f-af6a-15822614fc09
МКД|||78:31:0001280:2014
КВ|1||78:31:0001280:2087
КВ|2||78:31:0001280:2091
ЧКВ|2|6|
ЧКВ|2|10,4,5|
