Адрес|Статус|Кадастровый номер|GUID дома|GUID ФИАС|ОКТМО|Способ управления|ОГРН УО|Управляющая организация|Тип дома|Состояние|Общая площадь|Жилая площадь|Дата сноса|Помещений всего|КВ|НЖ|ММ|ОИ|ЛК|ЧКВ|ERR|Квартир с комнатами
190000, Санкт-Петербург г, наб. Реки Фонтанки, д. 32/1, литер А|МКД|78:31:0001283:3015|a15affc9-ff9d-4cc1-84d9-e38e05c6dfe1|63369d54-314b-4cbe-b932-1381a38bac76|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|9510.0000|3735.5||57|44|11|0|2|0|12|0|5
190000, Санкт-Петербург г, наб. Реки Фонтанки, д. 38, литер А|МКД|78:31:0001283:3030|c8505862-7039-4afb-9c96-9e96311956a7|c7c9e19d-715d-4d88-8b8a-b5d60b8d0df6|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|5153.3000|2664.3||44|27|16|0|1|0|13|0|4
190000, Санкт-Петербург г, наб. Реки Фонтанки, д. 38, литер Б|МКД|78:31:0001283:3010|ab447c23-7273-4195-b069-b6a6da3e3f73|15288a7f-af88-45ce-98c3-b1b79ac7feab|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|593.1000|294.6||8|4|4|0|0|0|0|0|0
190000, Санкт-Петербург г, наб. Реки Фонтанки, д. 38, литер Д|МКД|78:31:0001283:3012|f1a46337-38b7-4624-8c5a-6ce0b7a866df|86694f43-d4ca-4de5-ac8f-766d7106d594|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|790.9000|484.6||9|6|3|0|0|0|0|0|0
190000, Санкт-Петербург г, наб. Реки Фонтанки, д. 40/68, литер А|МКД|78:31:0001283:3007|b09558d5-740b-42a5-a098-d9d1e366362d|c0c84444-05a6-4437-920b-2a60095c5525|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|6721.7000|3857.8||69|49|20|0|0|0|14|0|6
190000, Санкт-Петербург г, пер. Басков, д. 1/3, литер А|МКД|78:31:0001280:2004|e14d526b-350b-4611-98e3-d8af43d1acd5|ea33a98b-0944-4436-bb05-5c7114ed7352|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|2425.3000|2089.8||32|26|6|0|0|0|30|0|9
190000, Санкт-Петербург г, пер. Басков, д. 2, строение 1|МКД|78:31:0001279:2365|6175bed7-4b1c-4a8f-bb12-e1e14a23d407|1d73e3b2-2456-4a6e-aa06-4366f5cf2123|40910000|ТСЖ|1217800160269|"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""РУССКИЙ ДОМ"""|Многоквартирный|Исправный|92236.7000|48522.2||545|395|150|0|0|0|0|0|0
190000, Санкт-Петербург г, пер. Басков, д. 3, литер А|МКД|78:31:0001280:2005|a84c53e9-6837-4d86-8304-bbc1e57e7ac8|2a6a1656-7c4b-4d99-831c-45d1ec167dc0|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|1293.4000|1236.5||16|14|2|0|0|0|17|0|5
190000, Санкт-Петербург г, пер. Басков, д. 3, литер Б|МКД|78:31:0001280:2008|f8725e30-4141-4765-ac89-72cf0982af58|092735a2-8892-46a8-80dd-97bacc0aff6a|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|1100.5000|786.8||11|7|4|0|0|0|0|0|0
190000, Санкт-Петербург г, пер. Басков, д. 5, литер А|МКД|78:31:0001280:2012|dc77b3a5-6af8-4716-8532-a7c1acef2bae|9ef3bdf7-641f-4322-9ac7-2e0b4c49e0e3|40910000|УО|1089847137588|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ЦЕНТРАЛЬНОГО РАЙОНА"""|Многоквартирный|Исправный|1382.3000|534.2||14|8|6|0|0|0|2|0|1
